stop_id,MSOA11CD,MSOA11NM,stop_name,geometry
9400ZZLUCFM1,E02000177,Camden 012,Chalk Farm Underground Station,POINT (-0.153529 51.54421)
9400ZZLUCND1,E02000053,Barnet 030,Colindale Underground Station,POINT (-0.250089 51.59551)
9400ZZLUCPC1,E02000634,Lambeth 017,Clapham Common Underground Station,POINT (-0.136841 51.46229)
9400ZZLUCPN1,E02000629,Lambeth 012,Clapham North Underground Station,POINT (-0.129359 51.46573)
9400ZZLUCPS1,E02000636,Lambeth 019,Clapham South Underground Station,POINT (-0.147036 51.45334)
9400ZZLUCSD1,E02000693,Merton 005,Colliers Wood Underground Station,POINT (-0.177577 51.41866)
9400ZZLUCTN1,E02000186,Camden 021,Camden Town Underground Station,POINT (-0.142465 51.5393)
9400ZZLUCTN2,E02000186,Camden 021,Camden Town Underground Station,POINT (-0.142888 51.53919)
9400ZZLUCTN3,E02000186,Camden 021,Camden Town Underground Station,POINT (-0.142478 51.53935)
9400ZZLUCTN4,E02000186,Camden 021,Camden Town Underground Station,POINT (-0.142972 51.53926)
9400ZZLUMTC1,E02000186,Camden 021,Mornington Crescent Underground Station,POINT (-0.138585 51.53439)
9400ZZLUEAC3,E02006802,Southwark 034,Elephant & Castle Underground Station,POINT (-0.100512 51.49506)
